,probability_low_rating,occurrence_count
relevance,0.3,10
supports,0.2,25
proof,0.1875,16
bias,0.17880794701986755,151
therefore,0.17845117845117844,594
because,0.17177914110429449,489
consistent,0.16981132075471697,424
inference,0.16,25
consequently,0.15942028985507245,69
specifically,0.15853658536585366,82
thus,0.157439446366782,578
conclusion,0.15625,96
demonstrates,0.15555555555555556,45
probability,0.15168539325842698,178
whereas,0.14473684210526316,152
sound,0.14285714285714285,42
sufficient,0.13402061855670103,97
hence,0.12452830188679245,265
nevertheless,0.11764705882352941,85
evidence,0.1134020618556701,194
causes,0.1111111111111111,54
necessary,0.11029411764705882,136
despite,0.10752688172043011,93
hypothesis,0.09433962264150944,53
inconsistent,0.09302325581395349,43
valid,0.09210526315789473,76
implies,0.08771929824561403,171
alternatively,0.08108108108108109,37
assumption,0.08,200
correlates,0.07692307692307693,13
analogy,0.07407407407407407,27
